record_id,record_type,row_id,year,region,region_norm,title,url,videoId,video_id,videoId_is_valid,videoId_occurrences,is_duplicate_videoId,views,view_count,views_raw,views_is_missing,views_snapshot_date,metadata_snapshot_date,tags_list,tags,tags_raw,tag1,tag2,tag3,tag4,tag5,source_platform,license
youtube-video-Acufr2_vOdI,youtube_video_metadata,1,2026,Chile,chile,"Things to Do in PUERTO NATALES & TORRES DEL PAINE, Chile 🇨🇱",https://youtu.be/Acufr2_vOdI,Acufr2_vOdI,Acufr2_vOdI,True,1,False,3468,3468,3468,False,2026-02-10,2026-02-10,"[""puerto natales"", ""puerto natales chile"", ""puerta natales patagonia"", ""puerto natales to torres del paine"", ""puerto natales torres del paine""]","puerto natales, puerto natales chile, puerta natales patagonia, puerto natales to torres del paine, puerto natales torres del paine","puerto natales, puerto natales chile, puerta natales patagonia, puerto natales to torres del paine, puerto natales torres del paine",puerto natales,puerto natales chile,puerta natales patagonia,puerto natales to torres del paine,puerto natales torres del paine,YouTube,CC-BY-NC-4.0
youtube-video-zR1fXlrsFu0,youtube_video_metadata,2,2026,Argentina,argentina,Patagonia Travel Tips: Everything First-Timers Need to Know!,https://youtu.be/zR1fXlrsFu0,zR1fXlrsFu0,zR1fXlrsFu0,True,1,False,6899,6899,6899,False,2026-02-10,2026-02-10,"[""patagonia"", ""patagonia argentina"", ""patagonia chile"", ""argentine patagonia"", ""chilean patagonia""]","patagonia, patagonia argentina, patagonia chile, argentine patagonia, chilean patagonia","patagonia, patagonia argentina, patagonia chile, argentine patagonia, chilean patagonia",patagonia,patagonia argentina,patagonia chile,argentine patagonia,chilean patagonia,YouTube,CC-BY-NC-4.0
youtube-video-it8h186rx7I,youtube_video_metadata,3,2026,Argentina,argentina,"EL CHALTEN TRAVEL GUIDE 🏔️🤩 | Things to See, Eat & Do in El Chalten",https://youtu.be/it8h186rx7I,it8h186rx7I,it8h186rx7I,True,1,False,3645,3645,3645,False,2026-02-10,2026-02-10,"[""el chalten"", ""el chalten travel"", ""el chalten travel guide"", ""el chalten argentina"", ""el chalten patagonia""]","el chalten, el chalten travel, el chalten travel guide, el chalten argentina, el chalten patagonia","el chalten, el chalten travel, el chalten travel guide, el chalten argentina, el chalten patagonia",el chalten,el chalten travel,el chalten travel guide,el chalten argentina,el chalten patagonia,YouTube,CC-BY-NC-4.0
youtube-video-ky8K3BK2mow,youtube_video_metadata,4,2026,Argentina,argentina,"EL CALAFATE TRAVEL GUIDE ❄️🇦🇷 | Things to See, Eat & Do in El Calafate",https://youtu.be/ky8K3BK2mow,ky8K3BK2mow,ky8K3BK2mow,True,1,False,21029,21029,21029,False,2026-02-10,2026-02-10,"[""el calafate"", ""el calafate travel"", ""el calafate travel guide"", ""el calafate things to do"", ""things to do in el calafate""]","el calafate, el calafate travel, el calafate travel guide, el calafate things to do, things to do in el calafate","el calafate, el calafate travel, el calafate travel guide, el calafate things to do, things to do in el calafate",el calafate,el calafate travel,el calafate travel guide,el calafate things to do,things to do in el calafate,YouTube,CC-BY-NC-4.0
youtube-video-Fe_SuXljM60,youtube_video_metadata,5,2026,Argentina,argentina,"15 Things to Do in BUENOS AIRES, Argentina When it Rains ☔",https://youtu.be/Fe_SuXljM60,Fe_SuXljM60,Fe_SuXljM60,True,1,False,3160,3160,3160,False,2026-02-10,2026-02-10,"[""buenos aires"", ""buenos aires rainy day"", ""buenos aires rainy day activity"", ""things to do in buenos aires on a rainy day"", ""buenos aires things to do on a rainy day""]","buenos aires, buenos aires rainy day, buenos aires rainy day activity, things to do in buenos aires on a rainy day, buenos aires things to do on a rainy day","buenos aires, buenos aires rainy day, buenos aires rainy day activity, things to do in buenos aires on a rainy day, buenos aires things to do on a rainy day",buenos aires,buenos aires rainy day,buenos aires rainy day activity,things to do in buenos aires on a rainy day,buenos aires things to do on a rainy day,YouTube,CC-BY-NC-4.0
youtube-video-qJZQxD3knE0,youtube_video_metadata,6,2025,Argentina,argentina,SAN TELMO: A Guide to Buenos Aires' Bohemian Neighbourhood 🇦🇷🎨,https://youtu.be/qJZQxD3knE0,qJZQxD3knE0,qJZQxD3knE0,True,1,False,5165,5165,5165,False,2026-02-10,2026-02-10,"[""san telmo"", ""san telmo buenos aires"", ""san telmo neighbourhood"", ""san telmo neighbourhood guide"", ""san telmo things to do""]","san telmo, san telmo buenos aires, san telmo neighbourhood, san telmo neighbourhood guide, san telmo things to do","san telmo, san telmo buenos aires, san telmo neighbourhood, san telmo neighbourhood guide, san telmo things to do",san telmo,san telmo buenos aires,san telmo neighbourhood,san telmo neighbourhood guide,san telmo things to do,YouTube,CC-BY-NC-4.0
youtube-video-B37Vcoc1eWY,youtube_video_metadata,7,2025,Argentina,argentina,PUERTO MADERO 🇦🇷 Guide to Buenos Aires' Newest Neighbourhood!,https://youtu.be/B37Vcoc1eWY,B37Vcoc1eWY,B37Vcoc1eWY,True,1,False,4013,4013,4013,False,2026-02-10,2026-02-10,"[""puerto madero"", ""puerto madero buenos aires"", ""puerto madero neighbourhood"", ""argentina"", ""puerto""]","puerto madero, puerto madero buenos aires, puerto madero neighbourhood, argentina, puerto","puerto madero, puerto madero buenos aires, puerto madero neighbourhood, argentina, puerto",puerto madero,puerto madero buenos aires,puerto madero neighbourhood,argentina,puerto,YouTube,CC-BY-NC-4.0
youtube-video-VoGj45rVKR4,youtube_video_metadata,8,2025,Argentina,argentina,"Let's Catch Up! 💥 | New channel, Back in Argentina & Renovations Ahead!",https://youtu.be/VoGj45rVKR4,VoGj45rVKR4,VoGj45rVKR4,True,1,False,9487,9487,9487,False,2026-02-10,2026-02-10,"[""samuel and audrey argentina"", ""samuel and audrey"", ""samuel and audrey hotel renovation"", ""renovating a hotel in argentina"", ""samuel and audrey update""]","samuel and audrey argentina, samuel and audrey, samuel and audrey hotel renovation, renovating a hotel in argentina, samuel and audrey update","samuel and audrey argentina, samuel and audrey, samuel and audrey hotel renovation, renovating a hotel in argentina, samuel and audrey update",samuel and audrey argentina,samuel and audrey,samuel and audrey hotel renovation,renovating a hotel in argentina,samuel and audrey update,YouTube,CC-BY-NC-4.0
youtube-video-7LFYQ6DbZQo,youtube_video_metadata,9,2025,USA,usa,"HONOLULU TRAVEL GUIDE 🌴🥥 | Things to DO in Honolulu, Oahu",https://youtu.be/7LFYQ6DbZQo,7LFYQ6DbZQo,7LFYQ6DbZQo,True,1,False,9136,9136,9136,False,2026-02-10,2026-02-10,"[""honolulu"", ""honolulu travel guide"", ""honolulu hawaii"", ""honolulu things to do"", ""honolulu travel vlog""]","honolulu, honolulu travel guide, honolulu hawaii, honolulu things to do, honolulu travel vlog","honolulu, honolulu travel guide, honolulu hawaii, honolulu things to do, honolulu travel vlog",honolulu,honolulu travel guide,honolulu hawaii,honolulu things to do,honolulu travel vlog,YouTube,CC-BY-NC-4.0
youtube-video-ZUnoeTfdTdo,youtube_video_metadata,10,2025,USA,usa,"KONA TRAVEL GUIDE 🌴🐝 | Things to DO in Kona, Hawaii",https://youtu.be/ZUnoeTfdTdo,ZUnoeTfdTdo,ZUnoeTfdTdo,True,1,False,5567,5567,5567,False,2026-02-10,2026-02-10,"[""kona"", ""kona hawaii"", ""kona hawaii things to do"", ""kailua kona hawaii things to do"", ""kailua kona""]","kona, kona hawaii, kona hawaii things to do, kailua kona hawaii things to do, kailua kona","kona, kona hawaii, kona hawaii things to do, kailua kona hawaii things to do, kailua kona",kona,kona hawaii,kona hawaii things to do,kailua kona hawaii things to do,kailua kona,YouTube,CC-BY-NC-4.0
